団体コード,総数,100歳以上
213616,27087,15
213624,7278,7
213802,43850,18
213811,19271,10
213829,9558,3
213837,15021,5
214001,69310,25
214019,21977,12
214035,23254,4
214043,24079,9
214205,17894,5
214213,17894,5
215007,49861,35
215015,7652,3
215023,5591,2
215031,10294,3
215040,4013,3
215058,11349,9
215066,8601,13
215074,2361,2
215201,18197,14
215210,18197,14
216003,1648,2
216046,1648,2
220001,3680266,1918
221007,700608,364
221015,253671,144
221023,208061,77
221031,238876,143
221309,786233,432
221317,230558,101
221325,127018,57
221333,110243,67
221341,99281,49
221350,92675,65
221368,96424,47
221376,30034,46
222038,195391,105
222054,37343,32
222062,110214,39
222071,132360,73
222089,70193,57
222097,98912,59
222101,251055,96
222119,163941,73
222127,137894,46
222135,114073,55
222143,145069,62
222151,87285,37
222160,83986,28
222194,22537,14
222208,52013,18
222216,57809,31
222224,31627,31
222232,32516,29
222241,45141,28
222259,49035,33
222267,45297,33
223000,44056,40
223018,12642,7
223026,7461,11
223042,8632,7
223051,6982,3
223069,8339,12
223204,38050,16
223255,38050,16
223409,93291,46
223417,31650,16
223425,42654,20
223441,18987,10
224201,35773,25
224243,28579,11
224294,7194,14
224600,18564,16
224618,18564,16
230006,7315013,2567
231002,2206437,782
231011,153765,60
231029,72308,27
231037,158607,64
231045,143144,53
231053,128309,43
231061,74064,31
231070,98934,50
231088,104585,55
231096,62961,23
231100,213733,65
231118,139604,44
231126,132220,56
231134,169515,52
231142,241065,66
231151,159414,46
231169,154209,47
232017,363280,158
232025,374947,139
232033,380701,131
232041,126855,42
232050,115853,49
232068,305232,93
232076,180564,81
232084,62620,29
232092,68386,25
232106,146097,43
232114,409105,137
232122,180529,63
232131,163842,61
232149,78326,40
232157,72666,21
232165,57467,26
232173,99436,34
232190,145507,43
232203,135222,43
232211,47223,38
232220,112725,22
232238,88820,29
232246,84125,24
232254,66865,12
232262,81849,27
232271,44580,15
232289,45742,17
232297,66249,26
232301,87731,27
232319,62027,35
232327,63503,27
232335,66014,16
232343,83573,14
232351,42837,12
232360,59031,4
232378,86783,17
232386,55557,11
233005,42228,10
233021,42228,10
233404,15083,2
233421,15083,2
233609,57569,17
233617,23264,5
233625,34305,12
234206,72482,19
234249,31397,9
234257,36710,8
234273,4375,2
234401,160023,77
234419,28297,16
234427,48927,17
234451,18260,15
234460,22273,13
234478,42266,16
235008,39694,10
235016,39694,10
235601,9628,19
235610,5063,10
235628,3391,7
235636,1174,2
240001,1798308,928
242012,274163,162
242021,304049,104
242039,127972,76
242047,162700,110
242055,139698,47
242071,193259,55
242080,79370,34
242098,18610,12
242101,47975,26
242110,19486,17
242128,17590,23
242144,44230,16
242152,51859,33
242161,89368,69
243001,6122,2
243035,6122,2
243205,25086,10
243248,25086,10
243400,65993,27
243418,40934,22
243434,10493,3
243442,14566,2
244406,47527,24
244414,14876,4
244422,23011,9
244431,9640,11
244601,46430,45
244619,15526,9
244708,8412,9
244716,9028,12
244724,13464,15
